Country Macro,Country,Datos Region,Year,SCALE,Employed persons,Population,FiscalBalance_pctGDP,Debt_pctGDP,Savings_pctGDP,GDP_real_growth,CapitalFormation_pctGDP,Market Shipments
Argentina,Argentina,LAC,2025,Millions,,47592000.0,0.36550000000000005,76.197,15.3585,4.2275,16.1425,148.0
Argentina,Argentina,LAC,2025,Millions,,47592000.0,0.36550000000000005,76.197,15.3585,4.2275,16.1425,2172.0
Argentina,Argentina,LAC,2026,Units,,47830000.0,0.343,73.553,17.134,3.99,17.52,2200.0
Argentina,Argentina,LAC,2026,Units,,47830000.0,0.343,73.553,17.134,3.99,17.52,150.0
Argentina,Argentina,LAC,2026,Millions,,48068000.0,0.5715,71.2075,17.817,3.9800000000000004,18.0895,2200.0
Argentina,Argentina,LAC,2026,Millions,,48068000.0,0.5715,71.2075,17.817,3.9800000000000004,18.0895,150.0
Argentina,Argentina,LAC,2027,Units,,48308500.0,0.8,68.862,18.5,3.97,18.659,2220.0
Argentina,Argentina,LAC,2027,Units,,48308500.0,0.8,68.862,18.5,3.97,18.659,150.0
Argentina,Argentina,LAC,2027,Millions,,48549000.0,0.8680000000000001,67.1695,19.2125,3.9080000000000004,19.381,2220.0
Argentina,Argentina,LAC,2027,Millions,,48549000.0,0.8680000000000001,67.1695,19.2125,3.9080000000000004,19.381,150.0
Argentina,Argentina,LAC,2028,Units,,48791500.0,0.936,65.477,19.925,3.846,20.103,2240.0
Argentina,Argentina,LAC,2028,Units,,48791500.0,0.936,65.477,19.925,3.846,20.103,150.0
Argentina,Argentina,LAC,2028,Millions,,49034000.0,0.9195,63.5225,20.567500000000003,3.7335000000000003,20.636000000000003,2240.0
Argentina,Argentina,LAC,2028,Millions,,49034000.0,0.9195,63.5225,20.567500000000003,3.7335000000000003,20.636000000000003,150.0
Argentina,Argentina,LAC,2029,Units,,49279500.0,0.903,61.568,21.21,3.621,21.169,2260.0
Argentina,Argentina,LAC,2029,Units,,49279500.0,0.903,61.568,21.21,3.621,21.169,150.0
Argentina,Argentina,LAC,2029,Millions,,49525000.0,0.8440000000000001,59.942499999999995,21.633000000000003,3.4139999999999997,21.4625,2260.0
Argentina,Argentina,LAC,2029,Millions,,49525000.0,0.8440000000000001,59.942499999999995,21.633000000000003,3.4139999999999997,21.4625,150.0
Argentina,Argentina,LAC,2030,Units,,49772500.0,0.785,58.317,22.056,3.207,21.756,2280.0
Argentina,Argentina,LAC,2030,Units,,49772500.0,0.785,58.317,22.056,3.207,21.756,150.0
Argentina,Argentina,LAC,2030,Millions,,50020000.0,0.785,58.317,22.056,3.207,21.756,2280.0
Argentina,Argentina,LAC,2030,Millions,,50020000.0,0.785,58.317,22.056,3.207,21.756,150.0
"Armenia, Republic of",Armenia,CEE,2022,Units,,2984000.0,-2.111,49.279,23.116,12.569,22.379,
"Armenia, Republic of",Armenia,CEE,2022,Millions,,2984000.0,-2.0650000000000004,49.864000000000004,21.6435,10.458,22.66,
"Armenia, Republic of",Armenia,CEE,2023,Units,,3009000.0,-2.019,50.449,20.171,8.347,22.941,
"Armenia, Republic of",Armenia,CEE,2023,Millions,,3034000.0,-2.8545,50.205,19.701,7.099,23.387,
"Armenia, Republic of",Armenia,CEE,2024,Units,,3075000.0,-3.69,49.961,19.231,5.851,23.833,
"Armenia, Republic of",Armenia,CEE,2024,Millions,,3116000.0,-4.5995,51.7,19.2555,5.3255,23.884999999999998,
"Armenia, Republic of",Armenia,CEE,2025,Units,,3111000.0,-5.509,53.439,19.28,4.8,23.937,30.0
"Armenia, Republic of",Armenia,CEE,2025,Units,,3111000.0,-5.509,53.439,19.28,4.8,23.937,110.0
"Armenia, Republic of",Armenia,CEE,2025,Millions,,3106000.0,-5.003500000000001,53.763999999999996,18.8405,4.85,23.5275,30.0
"Armenia, Republic of",Armenia,CEE,2025,Millions,,3106000.0,-5.003500000000001,53.763999999999996,18.8405,4.85,23.5275,110.0
"Armenia, Republic of",Armenia,CEE,2026,Units,,3101000.0,-4.498,54.089,18.401,4.9,23.118,10.0
"Armenia, Republic of",Armenia,CEE,2026,Units,,3101000.0,-4.498,54.089,18.401,4.9,23.118,135.0
"Armenia, Republic of",Armenia,CEE,2026,Millions,,3096000.0,-4.162,53.915499999999994,18.741,5.2,23.329,10.0
"Armenia, Republic of",Armenia,CEE,2026,Millions,,3096000.0,-4.162,53.915499999999994,18.741,5.2,23.329,135.0
"Armenia, Republic of",Armenia,CEE,2027,Units,,3091000.0,-3.826,53.742,19.081,5.5,23.54,10.0
"Armenia, Republic of",Armenia,CEE,2027,Units,,3091000.0,-3.826,53.742,19.081,5.5,23.54,145.0
"Armenia, Republic of",Armenia,CEE,2027,Millions,,3086000.0,-3.5605,53.837999999999994,19.083,5.15,23.511,10.0
"Armenia, Republic of",Armenia,CEE,2027,Millions,,3086000.0,-3.5605,53.837999999999994,19.083,5.15,23.511,145.0
"Armenia, Republic of",Armenia,CEE,2028,Units,,3080500.0,-3.295,53.934,19.085,4.8,23.482,10.0
"Armenia, Republic of",Armenia,CEE,2028,Units,,3080500.0,-3.295,53.934,19.085,4.8,23.482,155.0
"Armenia, Republic of",Armenia,CEE,2028,Millions,,3075000.0,-3.1494999999999997,53.9385,19.1605,4.65,23.566,10.0
"Armenia, Republic of",Armenia,CEE,2028,Millions,,3075000.0,-3.1494999999999997,53.9385,19.1605,4.65,23.566,155.0
"Armenia, Republic of",Armenia,CEE,2029,Units,,3069500.0,-3.004,53.943,19.236,4.5,23.65,10.0
"Armenia, Republic of",Armenia,CEE,2029,Units,,3069500.0,-3.004,53.943,19.236,4.5,23.65,165.0
"Armenia, Republic of",Armenia,CEE,2029,Millions,,3064000.0,-2.8305,53.51,19.3855,4.5,23.752,10.0
"Armenia, Republic of",Armenia,CEE,2029,Millions,,3064000.0,-2.8305,53.51,19.3855,4.5,23.752,165.0
"Armenia, Republic of",Armenia,CEE,2030,Units,,3058000.0,-2.657,53.077,19.535,4.5,23.854,10.0
"Armenia, Republic of",Armenia,CEE,2030,Units,,3058000.0,-2.657,53.077,19.535,4.5,23.854,175.0
"Armenia, Republic of",Armenia,CEE,2030,Millions,,3052000.0,-2.657,53.077,19.535,4.5,23.854,10.0
"Armenia, Republic of",Armenia,CEE,2030,Millions,,3052000.0,-2.657,53.077,19.535,4.5,23.854,175.0
Australia,Australia,AP,2022,Units,13563000.0,26320000.0,-2.213,50.213,24.516,4.132,23.932,699.0
Australia,Australia,AP,2022,Units,13563000.0,26320000.0,-2.213,50.213,24.516,4.132,23.932,197.0
Australia,Australia,AP,2022,Millions,13563000.0,26320000.0,-1.7405,49.8975,24.100499999999997,3.0989999999999998,23.9575,699.0
Australia,Australia,AP,2022,Millions,13563000.0,26320000.0,-1.7405,49.8975,24.100499999999997,3.0989999999999998,23.9575,197.0
Australia,Australia,AP,2023,Units,13791000.0,26637000.0,-1.268,49.582,23.685,2.066,23.983,700.0
Australia,Australia,AP,2023,Units,13791000.0,26637000.0,-1.268,49.582,23.685,2.066,23.983,109.0
Australia,Australia,AP,2023,Millions,14019000.0,26954000.0,-1.759,50.1485,23.231499999999997,1.5444999999999998,24.3185,700.0
Australia,Australia,AP,2023,Millions,14019000.0,26954000.0,-1.759,50.1485,23.231499999999997,1.5444999999999998,24.3185,109.0
Australia,Australia,AP,2024,Units,14183000.0,27177000.0,-2.25,50.715,22.778,1.023,24.654,931.0
Australia,Australia,AP,2024,Units,14183000.0,27177000.0,-2.25,50.715,22.778,1.023,24.654,774.0
Australia,Australia,AP,2024,Millions,14347000.0,27400000.0,-2.49,50.876000000000005,22.619999999999997,1.416,24.486,931.0
Australia,Australia,AP,2024,Millions,14347000.0,27400000.0,-2.49,50.876000000000005,22.619999999999997,1.416,24.486,774.0
Australia,Australia,AP,2025,Units,14486000.0,27571500.0,-2.73,51.037,22.462,1.809,24.318,170.0
Australia,Australia,AP,2025,Units,14486000.0,27571500.0,-2.73,51.037,22.462,1.809,24.318,980.0
Australia,Australia,AP,2025,Millions,14625000.0,27743000.0,-2.519,50.885,22.3995,1.979,24.1665,170.0
Australia,Australia,AP,2025,Millions,14625000.0,27743000.0,-2.519,50.885,22.3995,1.979,24.1665,980.0
Australia,Australia,AP,2026,Units,14755000.0,27916000.0,-2.308,50.733,22.337,2.149,24.015,945.0
Australia,Australia,AP,2026,Units,14755000.0,27916000.0,-2.308,50.733,22.337,2.149,24.015,155.0
Australia,Australia,AP,2026,Millions,14885000.0,28089000.0,-2.112,50.622,22.28,2.151,24.053,945.0
Australia,Australia,AP,2026,Millions,14885000.0,28089000.0,-2.112,50.622,22.28,2.151,24.053,155.0
Australia,Australia,AP,2027,Units,14885000.0,28257500.0,-1.916,50.511,22.223,2.153,24.091,75.0
Australia,Australia,AP,2027,Units,14885000.0,28257500.0,-1.916,50.511,22.223,2.153,24.091,975.0
Australia,Australia,AP,2027,Millions,14885000.0,28426000.0,-1.847,50.337,22.235500000000002,2.189,24.1425,75.0
Australia,Australia,AP,2027,Millions,14885000.0,28426000.0,-1.847,50.337,22.235500000000002,2.189,24.1425,975.0
Australia,Australia,AP,2028,Units,14885000.0,28596500.0,-1.778,50.163,22.248,2.225,24.194,75.0
Australia,Australia,AP,2028,Units,14885000.0,28596500.0,-1.778,50.163,22.248,2.225,24.194,875.0
Australia,Australia,AP,2028,Millions,14885000.0,28767000.0,-1.7025000000000001,49.962,22.287,2.2365000000000004,24.2475,75.0
Australia,Australia,AP,2028,Millions,14885000.0,28767000.0,-1.7025000000000001,49.962,22.287,2.2365000000000004,24.2475,875.0
Australia,Australia,AP,2029,Units,14885000.0,28940000.0,-1.627,49.761,22.326,2.248,24.301,825.0
Australia,Australia,AP,2029,Units,14885000.0,28940000.0,-1.627,49.761,22.326,2.248,24.301,75.0
Australia,Australia,AP,2029,Millions,14885000.0,29113000.0,-1.5899999999999999,49.56,22.3535,2.273,24.3585,825.0
Australia,Australia,AP,2029,Millions,14885000.0,29113000.0,-1.5899999999999999,49.56,22.3535,2.273,24.3585,75.0
Australia,Australia,AP,2030,Units,14885000.0,29287500.0,-1.553,49.359,22.381,2.298,24.416,75.0
Australia,Australia,AP,2030,Units,14885000.0,29287500.0,-1.553,49.359,22.381,2.298,24.416,775.0
